base_rot, wings_rot
-4.060157715350269569e+01,9.970666640310517437e+01
-2.134601025796631291e+01,2.550681520629704124e+01
-5.372467095559999706e+01,6.512380887929958284e+00
5.472321186281760674e+00,8.223362190469929089e+01
3.168943422281482469e+01,9.024949410806728167e+01
5.346147940378817509e+01,1.007483955668599833e+02
2.200409539167918638e+01,1.031873175320371843e+02
2.104676647684307511e+01,1.190490940554936650e+01
-1.146431226901717793e+01,4.232318167554750943e+01
1.534636403934979398e+01,7.159297044619395933e+01
-5.742615540157713383e+01,6.689478754100157687e+01
-2.655907764381471026e+01,1.876398919567509793e+01
-1.214829562633860149e+01,3.014480046502479382e+01
-2.433356720901276304e+01,8.908690783530271062e+01
8.281959891051201339e+00,1.860798448524105808e+01
3.936102634170411818e+01,7.821468674345533145e+01
-3.530439958155096747e+01,7.260853895946338810e+01
-3.759211433783146106e+01,1.749755696503782332e+01
4.844138765949126935e+01,1.124695277274013705e+02
-2.687451725584765683e+01,2.893927656367729639e+00
5.496743745254050850e+00,5.754285921234136225e+01
-2.564970015293215511e+01,6.077355852495727184e+00
-1.023781030149886817e+01,9.103536887889663376e+01
2.804818500770198852e+01,6.304339486848039797e+01
-8.784167916208986071e+00,7.366243722518429138e+01
-1.845421101157241139e+01,1.015276726890600401e+02
-4.202002814247290985e+01,9.451385828080056228e+01
-3.543548122302421177e+01,1.131040421002709593e+02
2.262534543967721845e+01,2.890076319378078651e+01
-1.739568613970107691e+01,8.403141509253867980e+01
-2.731496838427344187e+01,1.187839639811259644e+02
1.008291317370880336e+01,1.064862221511278761e+02
-2.017050160329526420e+01,5.173945860501806493e+01
-5.641039213153437260e+01,2.179616250864944149e+00
-3.678160111765360796e+01,1.076523590747468688e+02
-1.241468731054361996e+01,8.182857015115314425e+01
3.992067305839967162e+00,5.413211777395656554e+01
-7.597180933244899848e+00,1.919471061312037818e+01
-5.167786745796341563e+01,4.535954865869380370e+01
-3.415494789285453692e+00,9.593820497425245719e+01
-3.225788814748226230e+01,1.110400737246643530e+02
5.315319162572163236e+01,7.597534017811049978e+01
2.361698056162680359e+01,3.225674173051223192e+01
1.401396737660461156e+01,1.167622880847822842e+02
1.190895211777929319e+01,5.547055399854359337e+01
3.100515652180992276e+01,9.419268348779577593e+01
2.698994293326030913e+00,1.647322433453533819e+01
1.098899663702114538e+01,6.441590438028717358e+01
-2.962720787605244510e+01,3.533065571018303075e+01
4.495457182266818563e+00,8.946783909711253102e+01
5.535458112068216963e+01,5.132587458886438725e+01
-3.985922821522105153e+01,1.598384028592064965e+01
-5.632891758285717998e+01,7.185042359240136989e+01
3.649577831898196223e+01,7.838020894484958312e+00
5.567327184957582631e+01,5.054081088461436622e+01
-6.346116173314456432e+00,4.756159029081491241e+01
-5.108101395441590853e+01,6.779466588814787542e+01
4.923184354847120403e+01,1.108284266548479557e+01
4.044252312956599837e+01,3.302680629785140809e+01
1.689523454111953527e+01,1.093437868256986008e+02
-4.383942617483027959e+01,7.712960808194961260e+01
-8.754147476599435151e+00,3.640058107274746391e+01
1.339334572709115889e+01,4.902245607390196369e+01
2.600751407478954036e+01,9.648372397541942291e+01
-1.332093818433023813e+01,7.548351823382400028e+01
5.672116597452252051e+01,1.165342620973417382e+02
1.656940579356358967e+01,7.784462996466812967e+01
5.335080447435122153e+01,3.236811234126074055e+01
2.790779582092538647e+01,5.046171502228047245e+01
-1.171787963736252891e+01,5.049723107980383929e+00
5.893791900347481771e+01,2.471426229942259312e+01
